SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS CPRM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;24/07/2020 10:35:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ2003733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;"4118.550";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;003/SUREG-SP/019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;22/07/2020 08:48:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;FAI313;FAI313;FAI313;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B
ICP599;;SEDIMENTO CORRENTE;1770;1265;1070;84,68;194;15,32;<10;<10;<10;<0,01;1,72;8;<10;280;0,9;0,1;0,57;0,07;51,78;39;221;1,36;21,2;3,34;5,9;<0,1;0,31;0,04;0,02;0,09;23,5;12;0,09;0,97;1219;0,2;0,04;0,95;112,3;566;13;11,7;<0,1;<0,01;0,44;8,9;<1;1;79,7;<0,05;0,38;<0,05;3,5;0,12;0,08;0,87;61;0,2;8,31;0,6;68;9,5
ICP600;;SEDIMENTO CORRENTE;2330;1780;1680;94,6;96;5,41;I.S.;I.S.;I.S.;<0,01;2,57;30;<10;293;1,7;0,14;0,56;0,1;71,45;35,9;239;3,23;27,4;5,09;9,7;0,2;0,26;0,03;0,04;0,17;33,4;31;0,08;1,59;1145;0,38;0,05;1,47;90,2;942;19,1;15,3;<0,1;<0,01;0,58;9,8;<1;1,5;78,8;<0,05;0,44;<0,05;4,7;0,24;0,08;1,7;115;0,4;8,87;0,6;81;11,9
ICP601;;SEDIMENTO CORRENTE;2810;2230;1496;67,34;726;32,67;<10;<10;<10;<0,01;0,44;<1;<10;69;0,2;0,03;0,15;0,02;7,72;2,3;6;0,26;3;0,76;1,5;<0,1;0,07;<0,01;<0,02;0,04;4,3;2;0,03;0,07;264;0,15;0,05;0,81;3,9;214;2;3,2;<0,1;<0,01;0,08;0,9;<1;0,3;28,8;<0,05;0,07;<0,05;0,9;0,02;0,02;0,19;9;<0,1;2,06;0,2;10;2,9
ICP602;;SEDIMENTO CORRENTE;2290;1845;1804;97,88;39;2,12;I.S.;I.S.;I.S.;<0,01;0,35;<1;<10;81;0,3;0,11;0,06;0,03;59,3;2,7;20;0,47;2,3;1,96;1,2;<0,1;0,21;<0,01;<0,02;0,1;29;2;0,07;0,08;260;0,33;0,03;0,84;5,2;125;7,4;6,5;<0,1;<0,01;0,22;1;<1;1;9,7;<0,05;0,36;<0,05;13,4;0,05;0,05;1,23;31;0,2;6,41;0,5;10;11
ICP603;;SEDIMENTO CORRENTE;2040;1500;1438;96,12;58;3,88;I.S.;I.S.;I.S.;0,03;1,94;2;<10;462;0,6;0,06;0,31;0,08;55,51;34,9;98;0,69;36,7;4,62;6,5;<0,1;0,08;<0,01;0,02;0,16;26;12;0,14;0,8;1007;0,69;0,04;0,62;68,9;754;11,3;10,3;<0,1;<0,01;0,2;6,1;<1;0,5;34,4;<0,05;0,47;<0,05;2,9;0,01;0,07;0,37;63;0,1;12,02;1;71;2,1
ICP604;;SEDIMENTO CORRENTE;2100;1556;1497;96,43;56;3,58;I.S.;I.S.;I.S.;<0,01;1,76;2;<10;430;0,6;0,06;0,3;0,08;52,37;35,1;93;0,72;33,1;4,44;6;<0,1;0,06;<0,01;0,02;0,11;24,7;10;0,13;0,82;995;0,63;0,02;0,65;66,3;761;10,4;9,1;<0,1;<0,01;0,17;5,5;<1;0,5;29,9;<0,05;0,43;<0,05;2,4;0,01;0,06;0,34;60;0,1;11,2;0,9;71;2,3
ICP605;;SEDIMENTO CORRENTE;2670;2095;1847;88,2;247;11,8;<10;<10;<10;<0,01;1,68;5;<10;337;1,1;0,09;0,4;0,27;54,03;24,6;113;1,03;21,3;3,37;5,8;<0,1;0,13;0,02;0,03;0,12;29,3;12;0,13;0,8;1076;0,36;0,03;1,16;63,3;496;12,9;10,9;<0,1;<0,01;0,35;6,1;<1;0,9;52,3;<0,05;0,53;<0,05;3,6;0,07;0,07;0,93;62;0,2;13,87;0,9;64;5,3
ICP606;;SEDIMENTO CORRENTE;2310;1770;1694;95,71;76;4,3;I.S.;I.S.;I.S.;<0,01;1,61;3;<10;478;0,9;0,07;0,43;0,15;100,45;26,1;67;1,1;25,8;4,82;5,6;<0,1;0,08;0,01;0,03;0,15;51,1;10;0,2;0,51;982;0,94;0,02;1,18;39,3;1470;22,6;12,8;<0,1;<0,01;0,29;5,1;<1;0,7;36,7;<0,05;0,8;<0,05;3,8;0,04;0,08;0,52;65;0,2;20,29;1,4;98;2,5
ICP607;;SEDIMENTO CORRENTE;2530;1990;1980;99,5;10;0,5;I.S.;I.S.;I.S.;0,02;0,54;1;<10;110;0,5;0,09;0,11;0,15;30,77;3,5;17;0,85;4,4;1,36;1,7;<0,1;<0,05;<0,01;<0,02;0,13;14,9;5;0,04;0,12;276;0,34;0,03;1,58;7,7;214;10,5;10,7;<0,1;<0,01;0,18;1,1;<1;0,8;16,4;<0,05;0,21;<0,05;4,9;0,02;0,08;0,64;15;0,2;4,33;0,3;21;2
ICP608;;SEDIMENTO CORRENTE;1940;1560;1507;96,82;50;3,18;I.S.;I.S.;I.S.;0,03;0,27;1;<10;84;0,3;0,07;0,04;0,04;24,11;1,8;8;0,4;1,9;1,01;1;<0,1;0,07;<0,01;<0,02;0,08;11,9;1;0,04;0,03;178;0,27;0,02;0,92;3;99;6,1;5,5;<0,1;<0,01;0,16;0,7;<1;0,6;10,1;<0,05;0,17;<0,05;4,3;0,02;0,04;0,59;14;0,1;3,48;0,3;8;4,6
ICP609;;SEDIMENTO CORRENTE;2140;1700;1651;97,35;45;2,65;I.S.;I.S.;I.S.;<0,01;0,27;2;<10;86;0,4;0,07;0,04;0,04;26,33;1,9;10;0,39;1,6;1,13;0,9;<0,1;0,08;<0,01;<0,02;0,08;12,9;1;0,04;0,03;208;0,28;0,02;0,93;3,2;100;6,4;5,5;<0,1;<0,01;0,17;0,7;<1;0,6;10,1;<0,05;0,19;<0,05;5;0,02;0,05;0,64;15;0,1;3,73;0,3;8;5,8
ICP610;;SEDIMENTO CORRENTE;2420;1893;1820;96,17;73;3,83;I.S.;I.S.;I.S.;0,01;0,8;5;<10;347;0,7;0,09;0,21;0,08;49,07;16,1;22;1,08;7,5;2,28;2,8;<0,1;0,08;<0,01;<0,02;0,15;19,9;11;0,09;0,25;1268;0,36;0,04;0,99;12,7;652;18,2;12,2;<0,1;<0,01;0,26;2,3;<1;0,7;21,4;<0,05;0,38;<0,05;2,8;0,04;0,09;0,54;37;0,1;9,52;0,6;61;3,9
ICP611;;SEDIMENTO CORRENTE;2360;1840;1734;94,49;101;5,51;<10;<10;<10;<0,01;0,5;2;<10;67;0,2;0,05;0,08;0,05;13,49;3,2;12;0,4;3,2;1,21;1,6;<0,1;<0,05;<0,01;<0,02;0,05;6,2;2;0,03;0,04;274;0,35;0,03;0,58;5;111;3,9;3,6;<0,1;<0,01;0,11;1,3;<1;0,4;17,7;<0,05;0,12;<0,05;1,4;0,01;0,03;0,3;15;<0,1;2,85;0,2;10;2,2
ICP612;;SEDIMENTO CORRENTE;2160;1670;1041;62,74;618;37,26;<10;<10;<10;0,23;1,16;19;<10;145;1,9;0,25;0,2;0,08;47,97;10,9;111;2,47;33,2;2,43;5,6;<0,1;0,13;0,02;0,03;0,15;29,4;10;0,16;0,51;422;1,33;0,03;2,05;39,6;321;22;18,8;<0,1;<0,01;1,56;2,4;<1;1,8;28,7;<0,05;0,73;<0,05;15,3;0,05;0,12;2,88;33;1;18,11;1,2;60;6,4
ICP613;;SEDIMENTO CORRENTE;2180;1670;1426;86,66;220;13,34;I.S.;I.S.;I.S.;<0,01;1,83;14;<10;235;1,4;0,19;0,51;0,08;78,54;39,7;160;2,12;22;3,16;6,8;<0,1;0,21;0,02;0,03;0,09;32,4;15;0,14;0,95;1035;0,36;0,04;1,35;85,2;437;18,7;13;<0,1;0,01;0,65;8;<1;1,2;71,2;<0,05;0,6;<0,05;6;0,11;0,11;1,7;65;0,3;14,8;1;55;8,2
ICP614;;SEDIMENTO CORRENTE;2190;2160;2125;98,52;32;1,48;<10;<10;<10;0,03;0,67;3;<10;102;0,7;0,06;0,11;0,1;20,94;3,2;13;0,73;2,7;0,92;2,1;<0,1;<0,05;<0,01;<0,02;0,07;10,8;3;0,07;0,05;285;0,26;0,05;1,18;5,6;120;8,6;6,1;<0,1;<0,01;0,17;1,2;<1;0,6;31,2;<0,05;0,23;<0,05;2,7;0,01;0,06;0,62;13;0,1;6,33;0,5;14;1,7
ICP615;;SEDIMENTO CORRENTE;1670;1600;1442;90,12;158;9,88;<10;<10;<10;<0,01;1,66;23;<10;227;1,7;0,17;0,41;0,07;59,92;22,7;118;4,31;17;3,47;6,8;<0,1;0,28;0,02;0,03;0,17;34;17;0,07;0,75;763;0,33;0,04;1,47;58,7;811;20,3;19,1;<0,1;<0,01;0,79;6,2;<1;1,5;62;<0,05;0,41;<0,05;5,3;0,14;0,12;1,9;69;0,4;8,42;0,5;63;13,5
ICP616;;SEDIMENTO CORRENTE;1580;1515;1363;90,03;151;9,97;<10;<10;<10;<0,01;1,54;24;<10;220;1,6;0,17;0,4;0,07;60,32;22,4;115;4,19;15,2;3,4;6,5;<0,1;0,26;0,02;0,02;0,14;34,8;16;0,07;0,74;731;0,27;0,03;1,43;57,7;811;20,8;17,7;<0,1;<0,01;0,81;5,9;<1;1,5;59,6;<0,05;0,41;<0,05;5;0,13;0,11;1,9;68;0,2;8,38;0,5;62;12,1
ICP617;;SEDIMENTO CORRENTE;2390;1890;1792;95,09;93;4,91;I.S.;I.S.;I.S.;<0,01;0,41;1;<10;106;0,5;0,05;0,06;0,02;16,09;2,7;9;0,51;2,3;1,09;1,3;<0,1;<0,05;<0,01;<0,02;0,11;8,1;2;0,04;0,06;270;0,26;0,03;0,61;3,5;129;6,4;7;<0,1;<0,01;0,14;1;<1;0,6;10,1;<0,05;0,15;<0,05;1,8;0,02;0,05;0,39;12;<0,1;3,66;0,3;12;1,8
ICP618;;SEDIMENTO CORRENTE;2060;1600;1257;78,75;339;21,25;<10;<10;<10;<0,01;0,52;3;<10;83;1;0,1;0,06;0,02;33,82;1,9;5;1,08;2,9;0,91;2,1;<0,1;0,06;0,01;<0,02;0,09;19,5;3;0,1;0,04;154;0,54;0,03;1,67;2,4;111;7,1;9,4;<0,1;<0,01;0,16;0,9;<1;0,8;23,1;<0,05;0,41;<0,05;10,1;0,02;0,07;2,04;10;0,5;10,17;0,7;16;2,2
ICP619;;SEDIMENTO CORRENTE;2530;1970;1914;97,28;54;2,72;I.S.;I.S.;I.S.;0,01;0,62;2;<10;255;0,7;0,08;0,18;0,05;34,64;6,9;29;0,72;2,9;2,84;2,1;<0,1;0,12;<0,01;<0,02;0,14;16,1;4;0,07;0,12;468;0,49;0,03;0,76;9,2;534;11,5;8,6;<0,1;<0,01;0,32;1,9;<1;0,8;13,1;<0,05;0,3;<0,05;3,4;0,04;0,06;0,54;45;0,2;7,31;0,5;23;7,6
ICP620;;SEDIMENTO CORRENTE;2400;1920;1707;89,82;194;10,18;19;<10;<10;<0,01;0,66;4;<10;71;1,3;0,14;0,08;0,03;40,8;3,6;8;1,47;4,8;1,5;3;<0,1;0,2;0,01;<0,02;0,12;20,8;5;0,15;0,08;286;0,7;0,04;3,32;3,6;155;10,6;14,3;<0,1;<0,01;0,42;1,3;<1;1,4;20,1;<0,05;0,5;<0,05;20,5;0,04;0,09;3,23;16;0,5;13,7;1,1;24;9,3
ICP621;;SEDIMENTO CORRENTE;2230;1770;1736;98,38;29;1,62;I.S.;I.S.;I.S.;<0,01;0,33;2;<10;87;0,4;0,08;0,05;0,03;17,12;2,8;9;0,55;1,4;1,07;1,1;<0,1;<0,05;<0,01;<0,02;0,09;7,7;2;0,04;0,05;318;0,27;0,02;0,62;3,3;130;8,2;6,6;<0,1;<0,01;0,15;0,6;<1;0,6;8;<0,05;0,14;<0,05;2,7;0,01;0,05;0,4;14;0,1;3,29;0,3;10;2,3
ICP622;;SEDIMENTO CORRENTE;2130;1585;1392;87,93;191;12,07;18;<10;<10;0,15;1,49;32;<10;199;1,8;0,47;0,29;0,06;50,01;15,1;82;3,86;18,9;3,2;6,3;<0,1;0,09;0,04;0,02;0,14;31;27;0,08;0,61;634;0,41;0,03;1,36;40,7;571;34,1;18,7;<0,1;<0,01;3,14;3,9;<1;1,4;47,5;<0,05;0,42;<0,05;6,6;0,07;0,15;2,31;62;0,4;9,73;0,6;80;4,4
ICP623;;SEDIMENTO CORRENTE;2260;1770;1697;96,09;69;3,91;I.S.;I.S.;I.S.;<0,01;0,58;4;<10;209;0,7;0,11;0,1;0,05;26,39;6,8;18;0,64;7,7;2,35;1,9;<0,1;0,07;0,01;<0,02;0,12;13,1;4;0,07;0,08;437;0,46;0,02;0,57;9,1;238;12,3;9,3;<0,1;<0,01;0,27;1,7;<1;0,7;9,9;<0,05;0,27;<0,05;3,7;0,01;0,06;0,71;31;0,2;6,31;0,5;22;4,3
BRANCO_PREP;;BRANCO_PREP;NA;NA;NA;NA;NA;NA;<10;<10;<10;0,03;<0,01;<1;<10;<5;<0,1;<0,02;<0,01;<0,01;0,18;0,2;5;<0,05;3,5;0,58;0,2;<0,1;<0,05;<0,01;<0,02;<0,01;0,1;<1;<0,01;<0,01;80;0,37;<0,01;0,1;0,7;<50;1,5;<0,2;<0,1;<0,01;<0,05;<0,1;<1;0,5;<0,5;<0,05;<0,02;<0,05;0,3;<0,01;<0,02;<0,05;<1;<0,1;<0,05;<0,1;3;<0,5
ICP624;;SEDIMENTO CORRENTE;1880;1710;1679;98,33;29;1,67;I.S.;I.S.;I.S.;<0,01;0,9;4;<10;117;2;0,13;0,1;0,08;50,26;3,9;18;1,44;4;1,41;3,7;<0,1;0,08;0,01;0,02;0,13;29;6;0,18;0,08;334;0,61;0,04;3,82;6,5;222;18;13,1;<0,1;0,02;0,35;1,5;<1;1,3;28,1;<0,05;0,67;<0,05;14,3;0,03;0,1;2,68;17;2,2;17,4;1,3;33;3,8
