;;MDL;0;0;1;0,01;1;0,01;10;10;10;0,01;0,01;1;10;5;0,1;0,02;0,01;0,01;0,05;0,1;1;0,05;0,5;0,01;0,1;0,1;0,05;0,01;0,02;0,01;0,1;1;0,01;0,01;5;0,05;0,01;0,05;0,5;50;0,2;0,2;0,1;0,01;0,05;0,1;1;0,3;0,5;0,05;0,02;0,05;0,1;0,01;0,02;0,05;1;0,1;0,05;0,1;1;0,5
ICP651;;SEDIMENTO CORRENTE;2200;1750;1504;86,91;227;13,09;<10;<10;<10;0,1;1,01;4;<10;181;0,8;0,08;0,26;0,05;42,95;13,9;74;0,79;29,3;2,58;3,9;<0,1;0,15;0,01;<0,02;0,1;23,3;7;0,09;0,44;684;0,33;0,05;0,87;32;376;12,5;9,1;<0,1;<0,01;0,3;3,5;<1;0,8;36;<0,05;0,43;<0,05;4,1;0,08;0,06;0,73;50;0,1;10,03;0,7;36;7,6
ICP652;;SEDIMENTO CORRENTE;2160;1690;1319;78,37;364;21,63;<10;<10;<10;0,13;0,82;3;<10;157;0,7;0,07;0,22;0,05;35,94;11,9;64;0,67;26,6;2,21;3,2;<0,1;0,12;0,04;<0,02;0,08;19,4;5;0,08;0,38;588;0,25;0,04;0,78;29,1;341;11,3;7,4;<0,1;<0,01;0,32;2,9;<1;0,7;30,1;<0,05;0,35;<0,05;3,9;0,07;0,05;0,64;43;0,1;7,96;0,5;38;6,4
ICP653;;SEDIMENTO CORRENTE;2500;1963;1504;76,7;457;23,3;<10;<10;<10;<0,01;0,8;2;<10;100;0,9;0,13;0,21;0,03;23,89;7;16;0,77;7,2;1,79;2,6;<0,1;<0,05;<0,01;<0,02;0,05;13;5;0,13;0,14;543;0,26;0,03;1,08;7;163;9;6;<0,1;<0,01;0,21;2,8;<1;0,5;25,6;<0,05;0,38;<0,05;3,3;0,05;0,06;0,89;39;0,1;11,58;0,9;25;1,9
ICP654;;SEDIMENTO CORRENTE;2410;2010;1779;89,13;217;10,87;<10;<10;<10;<0,01;0,94;7;<10;158;0,9;0,15;0,16;0,05;33,17;8,9;51;0,91;11,5;2,72;3,5;<0,1;0,09;0,01;<0,02;0,13;18,4;14;0,06;0,34;457;0,37;0,04;0,91;19,5;363;15,5;10,4;<0,1;<0,01;0,7;2,4;<1;0,8;15;<0,05;0,31;<0,05;2,8;0,05;0,07;0,66;46;0,3;7,09;0,4;42;5
ICP655;;SEDIMENTO CORRENTE;2200;1610;1247;77,91;354;22,09;<10;<10;<10;<0,01;0,86;4;<10;100;1,3;0,25;0,19;0,02;34,99;6,3;21;1,48;11,6;1,75;3,5;<0,1;0,06;<0,01;<0,02;0,08;20,2;6;0,14;0,16;410;0,37;0,03;2,12;7,8;333;15,7;11;<0,1;<0,01;0,4;2,6;<1;0,9;27,7;<0,05;0,47;<0,05;7,4;0,05;0,09;1,73;32;0,3;13,05;1;33;2,3
ICP656;;SEDIMENTO CORRENTE;1900;1420;1102;78,27;306;21,73;<10;<10;<10;<0,01;0,86;4;<10;98;1,2;0,24;0,19;0,03;33,86;6;20;1,46;11,3;1,66;3,5;<0,1;<0,05;<0,01;<0,02;0,09;19,6;6;0,13;0,16;377;0,37;0,03;2,07;7,8;311;14,7;11,1;<0,1;<0,01;0,38;2,6;<1;0,9;28,4;<0,05;0,45;<0,05;6,8;0,05;0,09;1,69;30;0,3;12,53;0,9;31;2,1
ICP657;;SEDIMENTO CORRENTE;1820;1390;1078;77,71;309;22,29;<10;<10;<10;<0,01;1,24;5;<10;152;1,6;0,13;0,22;0,07;46,89;14,7;14;1,28;8,8;2,55;4,4;<0,1;0,05;<0,01;0,02;0,06;22,8;8;0,18;0,18;979;0,38;0,03;1,33;8,3;358;14,7;12;<0,1;0,01;0,16;3,8;<1;0,7;31,4;<0,05;0,67;<0,05;4,1;0,04;0,12;0,97;48;0,1;18,5;1,3;45;1,6
ICP658;;SEDIMENTO CORRENTE;2060;1590;1153;73,6;414;26,41;<10;<10;<10;<0,01;0,83;3;<10;95;0,5;0,09;0,35;0,03;26,88;9,1;38;0,91;16,7;2,03;3,3;<0,1;0,06;<0,01;<0,02;0,06;12,7;5;0,09;0,17;599;0,41;0,03;0,72;8,8;516;14,1;6,1;<0,1;<0,01;0,51;3,4;<1;0,5;35,4;<0,05;0,26;<0,05;4,5;0,11;0,05;1,21;61;0,1;7,39;0,6;28;3,2
ICP659;;SEDIMENTO CORRENTE;2380;1820;1747;96,12;71;3,88;<10;<10;<10;<0,01;1,72;7;<10;150;1;0,11;0,23;0,22;36,82;26,4;57;0,99;36,5;4,7;5,9;<0,1;0,1;0,02;0,03;0,18;18,4;15;0,11;0,38;799;0,82;0,03;0,73;39,5;483;16,9;14,4;<0,1;<0,01;0,3;5,8;<1;0,6;16,9;<0,05;0,42;<0,05;3,3;0,05;0,09;0,59;70;0,1;9,51;0,8;77;5,7
ICP660;;SEDIMENTO CORRENTE;2830;2260;2211;98,51;34;1,49;<10;<10;<10;0,04;0,53;2;<10;117;0,5;0,08;0,11;0,02;16,78;3,1;13;0,64;7,8;1,52;1,8;<0,1;0,07;<0,01;<0,02;0,16;8;4;0,04;0,1;277;0,39;0,05;0,48;4,7;181;8,3;9,5;<0,1;<0,01;0,19;1,1;<1;0,5;15,3;<0,05;0,15;<0,05;2,7;0,02;0,06;0,48;16;0,1;3,83;0,3;15;3,9
