SGS GEOSOL LABORATÓRIOS LTDA.;;;;;Final Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Client:;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS CPRM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Created:;24/07/2020 10:21:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Job Number:;GQ2003731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of Samples:;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project:;"4118.550";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment ID:;003/SUREG-SP/019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.O. Number:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Received:;22/07/2020 08:48:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;PREPS80P;FAI313;FAI313;FAI313;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B;ICM14B
ICP580;;SEDIMENTO CORRENTE;2090;1610;1602;99,5;8;0,5;I.S.;I.S.;I.S.;<0,01;0,92;3;<10;204;0,5;0,05;0,35;0,4;30,04;21,1;58;0,41;18,3;2,4;3,5;<0,1;0,05;<0,01;<0,02;0,03;14,9;5;0,1;0,38;1122;0,24;0,01;1,66;35,1;487;10,6;5,3;<0,1;0,02;0,08;4,1;<1;<0,3;45,1;<0,05;0,27;<0,05;1,8;0,03;0,04;0,59;51;<0,1;7,87;0,6;45;0,7
ICP581;;SEDIMENTO CORRENTE;2760;2203;2178;98,89;25;1,11;I.S.;I.S.;I.S.;<0,01;0,6;2;<10;184;0,4;0,05;0,24;0,14;23,68;9,4;34;0,39;8;1,79;2,3;<0,1;<0,05;<0,01;<0,02;0,05;12,4;3;0,06;0,19;620;0,2;0,02;1,18;15,9;366;6,3;4,5;<0,1;0,01;0,11;2,1;<1;<0,3;32,8;<0,05;0,2;<0,05;1,8;0,03;0,02;0,45;39;<0,1;4,98;0,4;24;<0,5
ICP582;;SEDIMENTO CORRENTE;1660;1305;1126;86,45;177;13,55;<10;<10;<10;<0,01;0,96;2;<10;184;0,7;0,09;0,16;0,03;60,15;10,8;40;0,5;5,1;3,35;3,7;<0,1;0,12;<0,01;<0,02;0,13;32,8;5;0,09;0,26;530;0,36;0,02;0,78;15,7;305;13,6;8,4;<0,1;<0,01;0,27;2,6;<1;0,5;27,6;<0,05;0,43;<0,05;4,7;0,04;0,05;0,74;58;0,1;9,62;0,7;31;6,2
ICP583;;SEDIMENTO CORRENTE;2040;1590;1489;93,85;98;6,15;I.S.;I.S.;I.S.;<0,01;1,71;5;<10;225;1,3;0,08;0,43;0,12;69,51;30,2;99;0,72;14,6;4,13;7,3;<0,1;0,14;<0,01;0,02;0,12;37;17;0,14;0,96;1238;0,35;0,02;1,55;70,9;764;16,4;11,5;<0,1;0,01;0,2;5,9;<1;0,8;61,4;<0,05;0,61;<0,05;4,7;0,13;0,08;0,92;75;0,1;14,73;1;62;5,4
Pulp Duplicates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICP583;;REP;--;--;--;--;--;--;--;--;--;<0,01;1,71;5;<10;224;1,1;0,08;0,42;0,11;67,17;29,1;98;0,71;14,3;4,09;7,1;<0,1;0,13;<0,01;0,03;0,12;35,9;18;0,14;0,94;1227;0,35;0,02;1,49;66,9;753;16,5;11,2;<0,1;<0,01;0,21;5,7;<1;0,7;61,5;<0,05;0,58;<0,05;4,1;0,12;0,07;0,91;74;0,1;14,48;1;62;5,4
Reference Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OREAS46;;STD;--;--;--;--;--;--;--;--;--;<0,01;0,82;<1;<10;61;0,2;0,04;0,68;0,03;27,07;6,1;29;0,35;24,4;1,62;2,7;<0,1;0,22;<0,01;<0,02;0,12;15,1;8;0,07;0,53;276;0,67;0,09;1,21;18,4;665;2,1;6,2;<0,1;<0,01;0,08;3;<1;0,4;28,2;<0,05;0,22;<0,05;2,5;0,09;0,06;0,43;26;<0,1;5,64;0,5;23;7
OREAS47;;STD;--;--;--;--;--;--;--;--;--;0,07;0,75;9;<10;64;0,2;0,17;0,49;0,53;40,75;51,2;29;1,15;163,6;1,56;2,8;<0,1;0,18;<0,01;0,03;0,11;22,8;9;0,06;0,46;271;13,03;0,08;1,14;76,2;603;288,1;7,2;<0,1;0,05;0,21;2,8;<1;2;27,1;<0,05;0,21;<0,05;2,7;0,06;0,08;0,42;21;0,1;5,22;0,4;216;5,1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
